, Município , Confirmados , Novos Confirmados , Incidência /100 mil hab , Óbitos , Novos Óbitos , Mortalidade /100 mil hab
, Hulha Negra , 3 , 0 , 44.3 , 1 , 0 , 14.8
, Dois Lajeados , 3 , 1 , 88.2 , 0 , 0 , 0
, Manoel Viana , 3 , 0 , 41.1 , 1 , 0 , 13.7
, Lajeado do Bugre , 3 , 0 , 117.0 , 0 , 0 , 0
, Cerro Grande do Sul , 2 , 0 , 16.3 , 1 , 0 , 8.2
, Paraíso do Sul , 2 , 0 , 26.3 , 0 , 0 , 0
, Ajuricaba , 2 , 0 , 28.5 , 0 , 0 , 0
, Santo Cristo , 2 , 0 , 14.0 , 0 , 0 , 0
, Pareci Novo , 2 , 0 , 52.1 , 0 , 0 , 0
, Nicolau Vergueiro , 2 , 0 , 118.9 , 0 , 0 , 0
, Ibiraiaras , 2 , 0 , 27.5 , 0 , 0 , 0
, Barros Cassal , 2 , 0 , 17.9 , 1 , 0 , 8.9
, Jaquirana , 2 , 0 , 53.8 , 0 , 0 , 0
, Novo Barreiro , 2 , 0 , 48.0 , 0 , 0 , 0
, Braga , 2 , 0 , 59.6 , 0 , 0 , 0
, Alecrim , 2 , 0 , 33.6 , 0 , 0 , 0
, Jaboticaba , 2 , 0 , 52.5 , 0 , 0 , 0
, Agudo , 2 , 0 , 12.1 , 0 , 0 , 0
, Boa Vista das Missões , 2 , 0 , 95.3 , 0 , 0 , 0
, Pinheiro Machado , 2 , 0 , 16.3 , 0 , 0 , 0
, Cacequi , 2 , 0 , 15.9 , 0 , 0 , 0
, Unistalda , 2 , 0 , 85.5 , 0 , 0 , 0
, Inhacorá , 2 , 0 , 89.8 , 0 , 0 , 0
, Santo Augusto , 2 , 1 , 14.4 , 1 , 0 , 7.2
, Centenário , 2 , 0 , 69.2 , 0 , 0 , 0
, Sagrada Família , 2 , 0 , 76.7 , 0 , 0 , 0
, Travesseiro , 2 , 0 , 85.6 , 0 , 0 , 0
, Capão do Cipó , 2 , 1 , 54.8 , 0 , 0 , 0
, Pinhal , 2 , 0 , 77.5 , 0 , 0 , 0
, Nova Roma do Sul , 2 , 1 , 54.2 , 0 , 0 , 0
, São José do Sul , 2 , 0 , 83.1 , 0 , 0 , 0
, Nova Candelária , 2 , 0 , 74.1 , 0 , 0 , 0
, Palmitinho , 2 , 0 , 28.3 , 0 , 0 , 0
, Rondinha , 2 , 0 , 39.0 , 0 , 0 , 0
, Tucunduva , 1 , 0 , 17.6 , 0 , 0 , 0
, Miraguaí , 1 , 0 , 20.3 , 0 , 0 , 0
, Derrubadas , 1 , 0 , 35.7 , 0 , 0 , 0
, São José das Missões , 1 , 0 , 39.4 , 0 , 0 , 0
, São Valério do Sul , 1 , 0 , 36.7 , 0 , 0 , 0
, Gramado Xavier , 1 , 0 , 23.1 , 0 , 0 , 0
, Porto Mauá , 1 , 0 , 42.1 , 0 , 0 , 0
, Áurea , 1 , 0 , 28.1 , 0 , 0 , 0
, São José do Ouro , 1 , 0 , 14.4 , 0 , 0 , 0
